filename,width,height,num_boxes
potholes0.png,450,300,12
potholes1.png,400,300,2
potholes10.png,400,400,2
potholes100.png,400,300,1
potholes101.png,530,300,2
potholes102.png,400,300,1
potholes103.png,467,300,3
potholes104.png,480,300,2
potholes105.png,400,300,8
potholes106.png,300,400,1
potholes107.png,534,300,2
potholes108.png,442,300,13
potholes109.png,400,176,3
potholes11.png,400,400,2
potholes110.png,400,300,2
potholes111.png,400,400,1
potholes112.png,485,300,1
potholes113.png,506,300,3
potholes114.png,400,400,3
potholes115.png,400,400,1
potholes116.png,400,400,2
potholes117.png,400,400,2
potholes118.png,400,400,1
potholes119.png,400,400,1
potholes12.png,450,300,5
potholes120.png,400,400,3
potholes121.png,533,300,15
potholes122.png,400,400,2
potholes123.png,400,400,3
potholes124.png,406,300,1
potholes125.png,533,300,2
potholes126.png,533,300,5
potholes127.png,400,400,3
potholes128.png,400,400,1
potholes129.png,544,300,1
potholes13.png,474,300,2
potholes130.png,450,300,1
potholes131.png,400,400,1
potholes132.png,400,400,2
potholes133.png,400,400,1
potholes134.png,400,400,1
potholes135.png,400,400,2
potholes136.png,400,400,3
potholes137.png,534,300,1
potholes138.png,421,300,1
potholes139.png,400,400,2
potholes14.png,400,400,5
potholes140.png,400,400,1
potholes141.png,437,300,1
potholes142.png,452,300,6
potholes143.png,533,300,1
potholes144.png,400,300,9
potholes145.png,533,300,3
potholes146.png,450,300,2
potholes147.png,450,300,2
potholes148.png,383,300,3
potholes149.png,300,442,7
potholes15.png,447,300,1
potholes150.png,454,300,1
potholes151.png,362,300,1
potholes152.png,400,400,2
potholes153.png,300,400,4
potholes154.png,445,300,9
potholes155.png,400,400,1
potholes156.png,533,300,1
potholes157.png,400,400,1
potholes158.png,400,400,2
potholes159.png,400,400,1
potholes16.png,449,300,1
potholes160.png,400,400,1
potholes161.png,400,400,3
potholes162.png,438,300,10
potholes163.png,400,400,4
potholes164.png,400,400,1
potholes165.png,533,300,3
potholes166.png,400,400,1
potholes167.png,533,300,12
potholes168.png,449,300,2
potholes169.png,400,400,2
potholes17.png,451,300,1
potholes170.png,449,300,1
potholes171.png,450,300,3
potholes172.png,400,400,4
potholes173.png,400,400,1
potholes174.png,450,300,4
potholes175.png,400,400,3
potholes176.png,400,400,1
potholes177.png,335,300,10
potholes178.png,400,400,2
potholes179.png,400,400,3
potholes18.png,400,173,1
potholes180.png,400,400,1
potholes181.png,571,300,1
potholes182.png,463,300,1
potholes183.png,460,300,1
potholes184.png,400,300,2
potholes185.png,557,300,4
potholes186.png,435,300,3
potholes187.png,401,300,3
potholes188.png,533,300,1
potholes189.png,533,300,2
potholes19.png,461,300,2
potholes190.png,451,300,2
potholes191.png,400,400,1
potholes192.png,400,400,2
potholes193.png,452,300,5
potholes194.png,400,400,2
potholes195.png,400,400,1
potholes196.png,400,400,2
potholes197.png,450,300,1
potholes198.png,300,451,2
potholes199.png,400,400,3
potholes2.png,400,400,2
potholes20.png,400,300,2
potholes200.png,400,400,2
potholes201.png,400,400,2
potholes202.png,300,397,6
potholes203.png,453,300,3
potholes204.png,400,400,1
potholes205.png,450,300,6
potholes206.png,453,300,4
potholes207.png,400,400,2
potholes208.png,400,400,1
potholes209.png,400,400,3
potholes21.png,450,300,3
potholes210.png,400,400,5
potholes211.png,400,400,1
potholes212.png,400,400,2
potholes213.png,450,300,1
potholes214.png,400,148,12
potholes215.png,300,300,2
potholes216.png,451,300,3
potholes217.png,450,300,4
potholes218.png,425,300,1
potholes219.png,503,300,2
potholes22.png,600,300,1
potholes220.png,400,300,1
potholes221.png,553,300,1
potholes222.png,370,300,1
potholes223.png,574,300,2
potholes224.png,450,300,1
potholes225.png,400,300,3
potholes226.png,400,300,2
potholes227.png,532,300,2
potholes228.png,400,400,1
potholes229.png,533,300,1
potholes23.png,480,300,1
potholes230.png,400,400,1
potholes231.png,400,400,1
potholes232.png,400,400,1
potholes233.png,400,400,2
potholes234.png,533,300,2
potholes235.png,400,400,1
potholes236.png,400,400,1
potholes237.png,400,400,3
potholes238.png,600,300,1
potholes239.png,400,400,1
potholes24.png,527,300,1
potholes240.png,373,300,7
potholes241.png,400,400,1
potholes242.png,400,400,2
potholes243.png,400,400,1
potholes244.png,400,300,1
potholes245.png,400,400,2
potholes246.png,400,400,2
potholes247.png,533,300,1
potholes248.png,400,400,2
potholes249.png,452,300,1
potholes25.png,571,300,4
potholes250.png,400,400,1
potholes251.png,453,300,5
potholes252.png,400,180,6
potholes253.png,400,300,1
potholes254.png,450,300,5
potholes255.png,534,300,5
potholes256.png,400,168,1
potholes257.png,300,300,4
potholes258.png,382,300,1
potholes259.png,506,300,1
potholes26.png,400,300,1
potholes260.png,450,300,1
potholes261.png,418,300,4
potholes262.png,400,300,1
potholes263.png,400,300,1
potholes264.png,400,400,1
potholes265.png,400,400,2
potholes266.png,300,400,4
potholes267.png,400,400,1
potholes268.png,400,400,2
potholes269.png,400,400,3
potholes27.png,486,300,1
potholes270.png,400,300,5
potholes271.png,520,300,1
potholes272.png,400,400,1
potholes273.png,400,400,1
potholes274.png,400,400,3
potholes275.png,300,442,1
potholes276.png,450,300,1
potholes277.png,583,300,17
potholes278.png,400,400,1
potholes279.png,400,400,1
potholes28.png,400,400,2
potholes280.png,400,400,2
potholes281.png,460,300,3
potholes282.png,400,400,1
potholes283.png,400,400,1
potholes284.png,400,400,2
potholes285.png,400,400,1
potholes286.png,400,400,1
potholes287.png,400,400,1
potholes288.png,481,300,1
potholes289.png,400,174,1
potholes29.png,400,400,3
potholes290.png,400,300,1
potholes291.png,458,300,1
potholes292.png,459,300,1
potholes293.png,450,300,1
potholes294.png,400,300,18
potholes295.png,510,300,3
potholes296.png,456,300,2
potholes297.png,533,300,2
potholes298.png,400,400,1
potholes299.png,400,400,2
potholes3.png,400,400,2
potholes30.png,450,300,2
potholes300.png,400,400,2
potholes301.png,400,400,5
potholes302.png,400,400,3
potholes303.png,400,400,2
potholes304.png,400,400,1
potholes305.png,400,400,1
potholes306.png,571,300,1
potholes307.png,451,300,1
potholes308.png,400,400,1
potholes309.png,450,300,4
potholes31.png,400,400,4
potholes310.png,533,300,5
potholes311.png,536,300,1
potholes312.png,400,400,1
potholes313.png,400,400,3
potholes314.png,400,300,5
potholes315.png,400,140,1
potholes316.png,400,400,2
potholes317.png,533,300,10
potholes318.png,400,400,2
potholes319.png,400,400,1
potholes32.png,400,400,2
potholes320.png,300,400,3
potholes321.png,400,400,7
potholes322.png,400,400,2
potholes323.png,300,440,2
potholes324.png,400,400,1
potholes325.png,400,300,1
potholes326.png,450,300,1
potholes327.png,442,300,1
potholes328.png,533,300,1
potholes329.png,381,300,4
potholes33.png,400,400,2
potholes330.png,480,300,5
potholes331.png,401,300,1
potholes332.png,450,300,3
potholes333.png,455,300,1
potholes334.png,451,300,4
potholes335.png,600,300,2
potholes336.png,533,300,3
potholes337.png,465,300,1
potholes338.png,571,300,4
potholes339.png,400,400,2
potholes34.png,400,400,2
potholes340.png,400,400,1
potholes341.png,400,300,1
potholes342.png,400,300,1
potholes343.png,400,400,3
potholes344.png,400,400,2
potholes345.png,400,400,4
potholes346.png,533,300,9
potholes347.png,450,300,1
potholes348.png,400,400,1
potholes349.png,400,400,1
potholes35.png,400,400,2
potholes350.png,449,300,5
potholes351.png,400,400,2
potholes352.png,533,300,1
potholes353.png,400,300,3
potholes354.png,300,444,3
